PopName,Area,Year,Month,Deaths
USA,01,2000,11,196996
USA,01,2000,12,203563
USA,01,2001,1,205231
USA,01,2001,2,185370
USA,01,2001,3,205231
USA,01,2001,4,198610
USA,01,2001,5,205231
USA,01,2001,6,198610
USA,01,2001,7,205231
USA,01,2001,8,205231
USA,01,2001,9,198610
USA,01,2001,10,205231
USA,01,2001,11,198610
USA,01,2001,12,205231
USA,01,2002,1,207521
USA,01,2002,2,187438
USA,01,2002,3,207521
USA,01,2002,4,200826
USA,01,2002,5,207521
USA,01,2002,6,200826
USA,01,2002,7,207521
USA,01,2002,8,207521
USA,01,2002,9,200826
USA,01,2002,10,207521
USA,01,2002,11,200826
USA,01,2002,12,207521
USA,01,2003,1,207937
USA,01,2003,2,187814
USA,01,2003,3,207937
USA,01,2003,4,201229
USA,01,2003,5,207937
USA,01,2003,6,201229
USA,01,2003,7,207937
USA,01,2003,8,207937
USA,01,2003,9,201229
USA,01,2003,10,207937
USA,01,2003,11,201229
USA,01,2003,12,207937
USA,01,2004,1,203077
USA,01,2004,2,189975
USA,01,2004,3,203077
USA,01,2004,4,196526
USA,01,2004,5,203077
USA,01,2004,6,196526
USA,01,2004,7,203077
USA,01,2004,8,203077
USA,01,2004,9,196526
USA,01,2004,10,203077
USA,01,2004,11,196526
USA,01,2004,12,203077
USA,01,2005,1,207914
USA,01,2005,2,187793
USA,01,2005,3,207914
USA,01,2005,4,201207
USA,01,2005,5,207914
USA,01,2005,6,201207
USA,01,2005,7,207914
USA,01,2005,8,207914
USA,01,2005,9,201207
USA,01,2005,10,207914
USA,01,2005,11,201207
USA,01,2005,12,207914
USA,01,2006,1,206066
USA,01,2006,2,186124
USA,01,2006,3,206066
USA,01,2006,4,199419
USA,01,2006,5,206066
USA,01,2006,6,199419
USA,01,2006,7,206066
USA,01,2006,8,206066
USA,01,2006,9,199419
USA,01,2006,10,206066
USA,01,2006,11,199419
USA,01,2006,12,206066
USA,01,2007,1,205850
USA,01,2007,2,185929
USA,01,2007,3,205850
USA,01,2007,4,199209
USA,01,2007,5,205850
USA,01,2007,6,199209
USA,01,2007,7,205850
USA,01,2007,8,205850
USA,01,2007,9,199209
USA,01,2007,10,205850
USA,01,2007,11,199209
USA,01,2007,12,205850
USA,01,2008,1,209376
USA,01,2008,2,195868
USA,01,2008,3,209376
USA,01,2008,4,202622
USA,01,2008,5,209376
USA,01,2008,6,202622
USA,01,2008,7,209376
USA,01,2008,8,209376
USA,01,2008,9,202622
USA,01,2008,10,209376
USA,01,2008,11,202622
USA,01,2008,12,209376
USA,01,2009,1,206992
USA,01,2009,2,186960
USA,01,2009,3,206992
USA,01,2009,4,200315
USA,01,2009,5,206992
USA,01,2009,6,200315
USA,01,2009,7,206992
USA,01,2009,8,206992
USA,01,2009,9,200315
USA,01,2009,10,206992
USA,01,2009,11,200315
USA,01,2009,12,206992
USA,01,2010,1,209648
USA,01,2010,2,189359
USA,01,2010,3,209648
USA,01,2010,4,202885
USA,01,2010,5,209648
USA,01,2010,6,202885
USA,01,2010,7,209648
USA,01,2010,8,209648
USA,01,2010,9,202885
USA,01,2010,10,209648
USA,01,2010,11,202885
USA,01,2010,12,209648
USA,01,2011,1,213642
USA,01,2011,2,192967
USA,01,2011,3,213642
USA,01,2011,4,206750
USA,01,2011,5,213642
USA,01,2011,6,206750
USA,01,2011,7,213642
USA,01,2011,8,213642
USA,01,2011,9,206750
USA,01,2011,10,213642
USA,01,2011,11,206750
USA,01,2011,12,213642
USA,01,2012,1,215414
USA,01,2012,2,201517
USA,01,2012,3,215414
USA,01,2012,4,208465
USA,01,2012,5,215414
USA,01,2012,6,208465
USA,01,2012,7,215414
USA,01,2012,8,215414
USA,01,2012,9,208465
USA,01,2012,10,215414
USA,01,2012,11,208465
USA,01,2012,12,215414
USA,01,2013,1,220567
USA,01,2013,2,199221
USA,01,2013,3,220567
USA,01,2013,4,213451
USA,01,2013,5,220567
USA,01,2013,6,213451
USA,01,2013,7,220567
USA,01,2013,8,220567
USA,01,2013,9,213451
USA,01,2013,10,220567
USA,01,2013,11,213451
USA,01,2013,12,220567
USA,01,2014,1,223066
USA,01,2014,2,201479
USA,01,2014,3,223066
USA,01,2014,4,215870
USA,01,2014,5,223066
USA,01,2014,6,215870
USA,01,2014,7,223066
USA,01,2014,8,223066
USA,01,2014,9,215870
USA,01,2014,10,223066
USA,01,2014,11,215870
USA,01,2014,12,223066
USA,01,2015,1,230388
USA,01,2015,2,208092
USA,01,2015,3,230388
USA,01,2015,4,222956
USA,01,2015,5,230388
USA,01,2015,6,222956
USA,01,2015,7,230388
USA,01,2015,8,230388
USA,01,2015,9,222956
USA,01,2015,10,230388
USA,01,2015,11,222956
USA,01,2015,12,230388
USA,01,2016,1,232436
USA,01,2016,2,217440
USA,01,2016,3,232436
USA,01,2016,4,224938
USA,01,2016,5,232436
USA,01,2016,6,224938
USA,01,2016,7,232436
USA,01,2016,8,232436
USA,01,2016,9,224938
USA,01,2016,10,232436
USA,01,2016,11,224938
USA,01,2016,12,232436
USA,01,2017,1,238955
USA,01,2017,2,215830
USA,01,2017,3,238955
USA,01,2017,4,231247
USA,01,2017,5,238955
USA,01,2017,6,231247
USA,01,2017,7,238955
USA,01,2017,8,238955
USA,01,2017,9,231247
USA,01,2017,10,238955
USA,01,2017,11,231247
USA,01,2017,12,238955
USA,01,2018,1,241138
USA,01,2018,2,217802
USA,01,2018,3,241138
USA,01,2018,4,233359
USA,01,2018,5,241138
USA,01,2018,6,233359
USA,01,2018,7,241138
USA,01,2018,8,241138
