Year,Age,Gender,Population,Deaths
1959,76,Female,358507,19619.0
1959,76,Male,292109,22951.0
1959,77,Female,329367,18922.0
1959,77,Male,266749,21700.0
1959,78,Female,293456,19999.0
1959,78,Male,233514,21580.0
1959,79,Female,262185,20309.0
1959,79,Male,204999,20932.0
1959,80,Female,231097,19778.0
1959,80,Male,176292,19320.0
1959,81,Female,208501,17964.0
1959,81,Male,155552,17527.0
1959,82,Female,178574,18651.0
1959,82,Male,129665,17295.0
1959,83,Female,154840,18677.0
1959,83,Male,110790,16312.0
1959,84,Female,126269,17449.0
1959,84,Male,87272,14897.0
1960,0,Female,2014076,46937.0
1960,0,Male,2079726,63936.0
1960,1,Female,2020145,3301.0
1960,1,Male,2084018,3949.0
1960,2,Female,2005380,1893.0
1960,2,Male,2075083,2439.0
1960,3,Female,2005711,1455.0
1960,3,Male,2071898,1921.0
1960,4,Female,1957157,1189.0
1960,4,Male,2028055,1535.0
1960,5,Female,1944320,1018.0
1960,5,Male,2014357,1270.0
1960,6,Female,1896775,853.0
1960,6,Male,1955472,1197.0
1960,7,Female,1867910,729.0
1960,7,Male,1930007,1070.0
1960,8,Female,1784657,638.0
1960,8,Male,1850932,971.0
1960,9,Female,1751816,575.0
1960,9,Male,1813771,842.0
1960,10,Female,1705684,476.0
1960,10,Male,1767568,820.0
1960,11,Female,1716358,536.0
1960,11,Male,1773519,868.0
1960,12,Female,1714681,545.0
1960,12,Male,1777025,891.0
1960,13,Female,1820686,599.0
1960,13,Male,1879559,1081.0
1960,14,Female,1365623,530.0
1960,14,Male,1404778,1028.0
1960,15,Female,1359023,568.0
1960,15,Male,1400319,1178.0
1960,16,Female,1358648,654.0
1960,16,Male,1392108,1554.0
1960,17,Female,1453000,803.0
1960,17,Male,1478000,1879.0
1960,18,Female,1289000,758.0
1960,18,Male,1284000,2019.0
1960,19,Female,1179000,773.0
1960,19,Male,1134000,1999.0
1960,20,Female,1143000,729.0
1960,20,Male,1087000,1987.0
1960,21,Female,1133000,829.0
1960,21,Male,1080000,2004.0
1960,22,Female,1120000,738.0
1960,22,Male,1077000,1924.0
1960,23,Female,1088000,751.0
1960,23,Male,1038000,1761.0
1960,24,Female,1081000,824.0
1960,24,Male,1022000,1801.0
1960,25,Female,1090000,869.0
1960,25,Male,1048000,1907.0
