Year,Age,mx_male,mx_female,mx_diff
1959,45,0.006162225702468176,0.003488037864079382,0.002674187838388794
1959,46,0.006606148714861622,0.0037652572851387543,0.002840891429722868
1959,47,0.0074764662091844295,0.004103885623102812,0.0033725805860816173
1959,48,0.008304411778843843,0.004696260547676056,0.0036081512311677867
1959,49,0.009055603597035819,0.004923588404273225,0.004132015192762594
1959,50,0.010050362477037085,0.005456361837788072,0.004594000639249013
1959,51,0.011036866986290764,0.00565290204688775,0.0053839649394030135
1959,52,0.012474917430384114,0.006541281652331925,0.005933635778052189
1959,53,0.013467772640141203,0.006792331584020563,0.00667544105612064
1959,54,0.014552829881415904,0.007621396290409937,0.006931433591005966
1959,55,0.015482793872643513,0.007662338832881923,0.00782045503976159
1959,56,0.016605108638151296,0.008338208799985142,0.008266899838166154
1959,57,0.017488463686697098,0.008755712268434926,0.008732751418262172
1959,58,0.02042377381236764,0.010985782686671832,0.00943799112569581
1959,59,0.02269985901519503,0.011752679519460277,0.010947179495734751
1959,60,0.023413031271446696,0.012002294060097108,0.011410737211349588
1959,61,0.024659659566016474,0.01234579395745077,0.012313865608565703
1959,62,0.027940846009573087,0.014885673346652943,0.013055172662920144
1959,63,0.03107649400093169,0.016458421193352682,0.014618072807579006
1959,64,0.03315076571744054,0.017266864791692895,0.015883900925747648
1959,65,0.03660386466480291,0.01980843114876872,0.016795433516034186
1959,66,0.03734112982698125,0.019594549374830867,0.01774658045215038
1959,67,0.04120668850198242,0.022658541195407625,0.018548147306574794
1959,68,0.043265090263380664,0.025185852160596923,0.01807923810278374
1959,69,0.045908894848376874,0.02697953787981183,0.018929356968565045
1959,70,0.05106948298182587,0.03105148772376954,0.02001799525805633
1959,71,0.052907587035964265,0.03127596315621138,0.021631623879752884
1959,72,0.05784032448384501,0.036668357725680584,0.021171966758164427
1959,73,0.0610602303631419,0.03974766359115717,0.02131256677198473
1959,74,0.06814878760394698,0.04483174042245603,0.023317047181490948
1959,75,0.07388859975066872,0.05132816719207244,0.02256043255859628
1959,76,0.07856998586144213,0.05472417553911081,0.023845810322331323
1959,77,0.08134988322355473,0.057449592703579896,0.02390029051997483
1959,78,0.09241415932235326,0.06814991003762064,0.024264249284732628
1959,79,0.10210781516007394,0.07746057173369948,0.024647243426374463
1959,80,0.10959090599686883,0.08558311012258922,0.024007795874279605
1959,81,0.11267614688335734,0.08615786015414795,0.02651828672920939
1959,82,0.13338217714880654,0.10444409600501753,0.028938081143789013
1959,83,0.14723350482895567,0.12062128648927925,0.02661221833967642
1959,84,0.1706962141351178,0.13818910421401928,0.03250710992109851
1960,0,0.03074251127311963,0.023304483048306023,0.007438028224813608
1960,1,0.0018948972609641567,0.0016340411208106349,0.0002608561401535219
1960,2,0.0011753746717601174,0.0009439607455943512,0.00023141392616576623
1960,3,0.0009271691946225152,0.0007254285388074354,0.00020174065581507982
1960,4,0.0007568828261560954,0.0006075138581115363,0.0001493689680445591
1960,5,0.0006304741413761314,0.0005235763660302831,0.00010689777534584829
1960,6,0.0006121284273055303,0.0004497106931502155,0.00016241773415531487
1960,7,0.0005544021342927772,0.000390275762750882,0.00016412637154189513
1960,8,0.0005246005795998988,0.0003574916636642223,0.00016710891593567655
1960,9,0.0004642261895244769,0.00032823081876178775,0.00013599537076268913
1960,10,0.0004639142595928417,0.00027906693150665655,0.00018484732808618515
1960,11,0.0004894224420488306,0.00031228916111906724,0.00017713328092976334
1960,12,0.0005013998114826747,0.00031784337728125523,0.00018355643420141948
1960,13,0.0005751349119660517,0.00032899687260735786,0.0002461380393586938
1960,14,0.0007317882256128726,0.00038810125488513304,0.00034368697072773957
1960,15,0.0008412368895944424,0.00041794730479175114,0.0004232895848026912
1960,16,0.0011162927014283374,0.0004813608822888636,0.0006349318191394737
1960,17,0.0012713125845737483,0.0005526496902959394,0.0007186628942778088
1960,18,0.001572429906542056,0.0005880527540729247,0.0009843771524691313
1960,19,0.0017627865961199294,0.0006556403731976251,0.0011071462229223041
1960,20,0.001827966881324747,0.0006377952755905512,0.0011901716057341957
1960,21,0.0018555555555555556,0.0007316857899382171,0.0011238697656173386
1960,22,0.00178644382544104,0.0006589285714285714,0.0011275152540124686
1960,23,0.0016965317919075144,0.0006902573529411765,0.0010062744389663378
1960,24,0.0017622309197651664,0.0007622571692876966,0.0009999737504774698
1960,25,0.0018196564885496183,0.0007972477064220184,0.0010224087821276
1960,26,0.0017404878048780487,0.0008919172932330827,0.0008485705116449661
1960,27,0.001711301044634378,0.0008697247706422019,0.0008415762739921761
1960,28,0.0016869806094182826,0.0009251336898395722,0.0007618469195787104
1960,29,0.0017760652765185857,0.000986910994764398,0.0007891542817541877
1960,30,0.0018333333333333333,0.0011300256629597947,0.0007033076703735386
1960,31,0.0018620087336244542,0.0010838222967309305,0.0007781864368935237
1960,32,0.0019871794871794872,0.0011837571780147662,0.000803422309164721
1960,33,0.002176619007569386,0.0012798387096774194,0.0008967802978919665
1960,34,0.002187188019966722,0.0014518695306284806,0.0007353184893382414
1960,35,0.002433993399339934,0.0015852317360565593,0.0008487616632833748
1960,36,0.0025756336876533114,0.001610248447204969,0.0009653852404483425
1960,37,0.002791361043194784,0.0017156105100463678,0.0010757505331484164
1960,38,0.003172413793103448,0.0019914396887159534,0.0011809741043874947
1960,39,0.0035070892410341953,0.0021346001583531274,0.001372489082681068
1960,40,0.0038215802888700084,0.0024357316087308,0.0013858486801392083
1960,41,0.0040910667823070256,0.0024660596026490067,0.0016250071796580189
