Year,Age,Gender,Population,Deaths,MortalityRate,qx_est
2013,26,Male,2186059,2984.0,0.0013650134785932128,0.001364082271446465
2013,27,Female,2128437,1234.0,0.0005797681585125611,0.0005796001254286809
2013,27,Male,2194060,3057.0,0.00139330738448356,0.0013923371823986175
2013,28,Female,2155262,1278.0,0.0005929673515331315,0.0005927915811368978
2013,28,Male,2205943,3015.0,0.001366762423145113,0.0013658288287667908
2013,29,Female,2097906,1301.0,0.0006201421798688788,0.0006199499314497592
2013,29,Male,2129048,3053.0,0.0014339742457661828,0.0014329465959639354
2013,30,Female,2137784,1404.0,0.0006567548452041927,0.0006565392289458183
2013,30,Male,2159861,3204.0,0.0014834287947233641,0.0014823290580897597
2013,31,Female,2143487,1502.0,0.0007007273662028274,0.0007004819141169794
2013,31,Male,2156386,3222.0,0.0014941666287946592,0.0014930509175926643
2013,32,Female,2124979,1614.0,0.0007595369177765992,0.000759248542626989
2013,32,Male,2130849,3207.0,0.0015050339090193626,0.0015039019134541753
2013,33,Female,2160357,1664.0,0.0007702430663080222,0.0007699465052636301
2013,33,Male,2182917,3400.0,0.0015575489127621434,0.0015563365629673864
2013,34,Female,2036677,1784.0,0.0008759366360007011,0.000875553115493588
2013,34,Male,2038756,3407.0,0.0016711170929723813,0.0016697215542809118
2013,35,Female,1999697,1898.0,0.0009491437952849857,0.0009486935007889663
2013,35,Male,1997205,3363.0,0.0016838531848257941,0.001682436299438983
2013,36,Female,1986144,1892.0,0.0009525996100987642,0.0009521460311280316
2013,36,Male,1971826,3386.0,0.001717190056323428,0.0017157165290414556
2013,37,Female,1927908,2006.0,0.001040506082240439,0.0010399649434891245
2013,37,Male,1914949,3435.0,0.001793781453187526,0.001792173588766155
2013,38,Female,1985774,2164.0,0.0010897514017204374,0.001089157838293442
2013,38,Male,1978588,3576.0,0.0018073494835711124,0.0018057172110036435
2013,39,Female,1932825,2317.0,0.0011987634679808052,0.001198045238079315
2013,39,Male,1909779,3784.0,0.0019813810917388873,0.001979419452022735
2013,40,Female,1970025,2595.0,0.0013172421669775764,0.0013163749843193573
2013,40,Male,1934377,4146.0,0.0021433257322641865,0.0021410304498057364
2013,41,Female,2057614,2890.0,0.0014045394325660693,0.0014035535286915923
2013,41,Male,2026160,4563.0,0.002252043273976389,0.0022495093270654687
2013,42,Female,2178440,3336.0,0.001531371072877839,0.001530199122503073
2013,42,Male,2143051,5327.0,0.0024857084595746905,0.002482621644472216
2013,43,Female,2198612,3620.0,0.0016464933330664984,0.0016451386065367002
2013,43,Male,2180528,5599.0,0.0025677267157312358,0.0025644329252756393
2013,44,Female,2088827,3780.0,0.0018096280831299098,0.0018079916934646834
2013,44,Male,2063839,5890.0,0.002853904786177604,0.0028498362712183756
2013,45,Female,2048682,4126.0,0.0020139777671693312,0.0020119510747454994
2013,45,Male,2020010,6221.0,0.0030796877243181964,0.0030749503505369535
2013,46,Female,2058510,4487.0,0.0021797319420357444,0.002177358051494438
2013,46,Male,2017360,7102.0,0.0035204425585914265,0.0035142530660685622
2013,47,Female,2097447,5149.0,0.002454889205782077,0.002451878429487131
2013,47,Male,2057859,7958.0,0.003867125978990786,0.0038596582766053933
2013,48,Female,2227640,5757.0,0.002584349356269415,0.002581012800366045
2013,48,Male,2181427,9049.0,0.004148202071396384,0.0041396101656099304
2013,49,Female,2279434,6785.0,0.0029766161248801237,0.00297219039542429
2013,49,Male,2214543,10202.0,0.004606819555998687,0.004596224438962793
2013,50,Female,2283738,7281.0,0.0031881940923170695,0.0031831171983395246
2013,50,Male,2209931,11307.0,0.005116449337106,0.005103382604786155
2013,51,Female,2282996,8083.0,0.0035405230670574983,0.0035342628056426184
2013,51,Male,2203718,12452.0,0.005650450738252354,0.005634516966602887
2013,52,Female,2317597,8750.0,0.003775462256811689,0.0037683441600383505
2013,52,Male,2226796,13475.0,0.006051295224169614,0.00603302301265185
2013,53,Female,2334365,9352.0,0.004006228674607442,0.003998214446359838
2013,53,Male,2251917,14621.0,0.006492690449958857,0.0064716584779644926
2013,54,Female,2266664,9961.0,0.004394563993604698,0.004384922026509197
2013,54,Male,2168631,15608.0,0.007197167245142212,0.00717132965993128
2013,55,Female,2259076,10693.0,0.004733351157729974,0.004722166505060299
2013,55,Male,2152515,16883.0,0.007843383205227374,0.007812704136803905
2013,56,Female,2242032,11406.0,0.005087349333104969,0.005074430687990961
